2026-04-17 21:34:46 | collector.yc         | ERROR    | [error][FAIL][/error] Failed to search YC for 'Linear': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Linear
2026-04-17 21:34:47 | collector.yc         | ERROR    | [error][FAIL][/error] Failed to search YC for 'Figma': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Figma
2026-04-17 21:34:48 | collector.yc         | ERROR    | [error][FAIL][/error] Failed to search YC for 'Vercel': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Vercel
2026-04-17 21:34:50 | collector.yc         | ERROR    | [error][FAIL][/error] Failed to search YC for 'Stripe': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Stripe
2026-04-17 21:34:52 | collector.yc         | ERROR    | [error][FAIL][/error] Failed to search YC for 'Airtable': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Airtable
2026-04-17 21:34:54 | collector.yc         | ERROR    | [error][FAIL][/error] Failed to search YC for 'Canva': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Canva
2026-04-17 21:34:55 | collector.yc         | ERROR    | [error][FAIL][/error] Failed to search YC for 'Calendly': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Calendly
2026-04-17 21:34:56 | collector.yc         | ERROR    | [error][FAIL][/error] Failed to search YC for 'Loom': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Loom
2026-04-17 21:34:57 | collector.yc         | ERROR    | [error][FAIL][/error] Failed to search YC for 'Miro': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Miro
2026-04-17 21:34:58 | collector.yc         | ERROR    | [error][FAIL][/error] Failed to search YC for 'Retool': 403 Client Error: Forbidden for url: https://45bwzj1sgc-dsn.algolia.net/1/indexes/YCCompany_production?hitsPerPage=5&page=0&query=Retool
